Brand_Product_Size,IGA Price,WOW Price,IGA Category,WOW Category,WOW Specials
Heinz Mayonnaise Salad Cream English 250g,3.35,3.0,Pantry,Pantry,
Leggos Stir Through Chargrilled Vegetable 350g,4.45,4.0,Pantry,Pantry,
Uncle Tobys Oats Traditional Porridge 1kg,6.0,4.0,Pantry,Pantry,Specials
Leggos Tomato Paste Squeeze 400g,4.0,3.85,Pantry,Pantry,
Praise Mayonnaise Traditional 470g,4.65,3.0,Pantry,Pantry,Specials
Leggos Pesto Traditional Basil 190g,4.6,4.6,Pantry,Pantry,
Heinz Seriously Good Whole Egg Mayonnaise 295mL,4.45,3.5,Pantry,Pantry,Specials
Praise Dressings Italian Original 330mL,3.0,3.0,Pantry,Pantry,
Praise Dressings Thousand Island 330mL,3.0,3.0,Pantry,Pantry,
Raguletto Pasta Sauce Napolitana 500g,1.9,1.8,Pantry,Pantry,
Leggos Tomato Paste Pizza Grlc Onion Herb Squeeze 400g,4.0,3.85,Pantry,Pantry,
Praise Dressings Caesar 330mL,3.0,3.0,Pantry,Pantry,
Praise Dressings French Original 330mL,3.0,3.0,Pantry,Pantry,
Praise Dressings Coleslaw 330mL,3.0,3.0,Pantry,Pantry,
Praise Aioli Mayonnaise Deli Style Classic 250mL,4.45,3.0,Pantry,Pantry,Specials
Masterfoods Mint Jelly Sauce 290g,2.95,2.65,Pantry,Pantry,
Praise Ranch Dressing Ranch 330mL,3.0,3.0,Pantry,Pantry,
Praise Whole Egg Mayonnaise Mayonnaise 335g,5.55,5.0,Pantry,Pantry,
Rosella Chutney Fruit 250g,2.5,2.55,Pantry,Pantry,
Gravox Gravy Liquid Traditional 250g,2.85,2.85,Pantry,Pantry,
Gravox Gravy Mix Pepper Sauce 140g,3.5,3.5,Pantry,Pantry,
Fountain Barbecue Sauce Squeeze 500mL,2.0,2.0,Pantry,Pantry,
Masterfoods Seafood Sauce Tartare 220g,2.65,1.9,Pantry,Pantry,Specials
Fountain Tomato Sauce Squeeze 500mL,2.0,2.0,Pantry,Pantry,
Trident Chilli Sauce Sweet Chilli 285mL,3.35,3.0,Pantry,Pantry,
Masterfoods Australian Mustard 175g,2.5,2.5,Pantry,Pantry,Specials
Rosella Aristocrat Onions Cocktail White 150g,2.4,2.15,Pantry,Pantry,
Heinz Tomato Sauce Ketchup 500mL,3.55,3.2,Pantry,Pantry,
Masterfoods Classic Corn Relish 250g,3.5,2.7,Pantry,Pantry,Specials
Masterfoods Mild English Mustard 175g,2.5,2.5,Pantry,Pantry,Specials
Masterfoods Hot English Mustard 175g,2.5,2.5,Pantry,Pantry,Specials
Masterfoods Mustard Dijon Original 170g,5.0,2.5,Pantry,Pantry,Specials
Masterfoods Tomato Relish 250g,3.65,2.7,Pantry,Pantry,Specials
Masterfoods Squeezy Mild American Mustard 250g,3.5,3.5,Pantry,Pantry,
Masterfoods Wholegrain Mustard 175g,2.5,2.5,Pantry,Pantry,Specials
Tabasco Chilli Sauce Red Pepper 60mL,5.1,5.0,Pantry,Pantry,
Always Fresh Cucumbers Dill 680g,3.95,3.75,Pantry,Pantry,
Gravox Gravy Mix Brown Onion 120g,3.5,3.5,Pantry,Pantry,
Three Threes Fruit Sauce Apple 250g,2.2,2.2,Pantry,Pantry,
Gravox Gravy Powder Traditional 200g,3.35,3.4,Pantry,Pantry,
Gravox Gravy Liquid Brown Onion 165g,2.2,2.5,Pantry,Pantry,
Gravox Gravy Liquid Best Ever Chip Gravy 165g,2.2,2.5,Pantry,Pantry,
Gravox Gravy Mix Roast Meat 120g,3.5,3.5,Pantry,Pantry,
Gravox Gravy Mix Instant Chicken 120g,3.5,3.5,Pantry,Pantry,
Gravox Gravy Mix Traditional 120g,3.5,3.5,Pantry,Pantry,
Always Fresh Cucumbers Baby 350g,3.9,3.8,Pantry,Pantry,
Masterfoods Horseradish Cream 175g,2.5,2.5,Pantry,Pantry,Specials
Gravox Gravy Liquid Traditional 165g,2.2,2.5,Pantry,Pantry,
Gravox Gravy Mix Supreme 425g,5.0,4.95,Pantry,Pantry,
Ocean Spray Fruit Sauce Cranberry Whole Berry 275g,4.0,3.6,Pantry,Pantry,
Masterfoods Classic Gherkin Relish 260g,3.85,2.7,Pantry,Pantry,Specials
Chicken Tonight Simmer Sauce Butter Chicken 495g,2.5,2.5,Pantry,Pantry,
Chicken Tonight Simmer Sauce Creamy Mushroom 475g,2.5,2.5,Pantry,Pantry,
Gravox Gravy Mix Traditional 425g,5.0,4.95,Pantry,Pantry,
Kan Tong Peanut Satay Stir Fry Cooking Sauce 505g,3.65,3.0,Pantry,Pantry,Specials
Gravox Finishing Sauce Pepper Steak 165g,2.2,1.75,Pantry,Pantry,Specials
Continental Recipe Base Chilli Con Carne 40g,1.5,1.6,Pantry,Pantry,
Continental Recipe Base Beef Stroganoff 40g,1.5,1.6,Pantry,Pantry,
Continental Recipe Base Chow Mein Mince 30g,1.5,1.6,Pantry,Pantry,
Continental Recipe Base Creamy Tuna Mornay 30g,1.5,1.6,Pantry,Pantry,
Gravox Gravy Liquid Chicken With Herbs 165g,2.2,2.5,Pantry,Pantry,
Kan Tong Honey Soy Garlic Stir Fry Sauce 500g,3.65,3.0,Pantry,Pantry,Specials
Masterfoods Marinade Teriyaki 375g,2.5,2.5,Pantry,Pantry,
Continental Recipe Base Spaghetti Bolognese 50g,1.5,1.6,Pantry,Pantry,
