Brand_Product_Size,Brand_x,Brand_y,COL Price,WOW Price,COL ppu,WOW ppu
Hoyt's Garam Masala 25g,Hoyts,hoyt's,2.1,1.9,$0.84 per 10G,$0.76 / 10G
Hoyt's Garlic Powder 25g,Hoyts,hoyt's,1.3,1.3,$0.52 per 10G,$0.52 / 10G
Hoyt's Italian Herb Mix 140g,Hoyts,hoyt's,4.5,5.0,$0.32 per 10G,$0.36 / 10G
Hoyt's Italian Herb Mix 35g,Hoyts,hoyt's,2.6,2.6,$0.74 per 10G,$0.74 / 10G
Hoyt's Mixed Herbs 25g,Hoyts,hoyt's,1.6,1.6,$0.64 per 10G,$0.64 / 10G
Hoyt's Mixed Herbs 70g,Hoyts,hoyt's,3.1,3.15,$0.44 per 10G,$0.45 / 10G
Hoyt's Mixed Spice 25g,Hoyts,hoyt's,1.45,1.45,$0.58 per 10G,$0.58 / 10G
Hoyt's Mustard Seed 25g,Hoyts,hoyt's,1.3,1.3,$0.52 per 10G,$0.52 / 10G
Hoyt's Nutmeg Ground 25g,Hoyts,hoyt's,2.0,1.85,$0.80 per 10G,$0.74 / 10G
Hoyt's Oregano 25g,Hoyts,hoyt's,1.65,1.65,$0.66 per 10G,$0.66 / 10G
Hoyt's Oregano 60g,Hoyts,hoyt's,2.75,2.73,$0.46 per 10G,$0.46 / 10G
Hoyt's Paprika Sweet 190g,Hoyts,hoyt's,3.4,3.8,$0.18 per 10G,$0.20 / 10G
Hoyt's Parsley 15g,Hoyts,hoyt's,1.75,1.6,$1.17 per 10G,$1.07 / 10G
Hoyt's Pepper Black Whole 100g,Hoyts,hoyt's,4.25,4.3,$0.43 per 10G,$0.43 / 10G
Hoyt's Pepper Four Colour Mix 50g,Hoyts,hoyt's,3.9,3.9,$7.80 per 100G,$0.78 / 10G
Hoyt's Pine Nuts 25g,Hoyts,hoyt's,3.2,3.2,$1.28 per 10G,$1.28 / 10G
Hoyt's Poppy Seed 100g,Hoyts,hoyt's,1.85,1.85,$0.19 per 10G,$0.19 / 10G
Hoyt's Poppy Seed 240g,Hoyts,hoyt's,4.2,4.25,$0.18 per 10G,$0.18 / 10G
Hoyt's Rosemary 25g,Hoyts,hoyt's,1.4,1.25,$0.56 per 10G,$0.50 / 10G
Hoyt's Sesame Seeds 100g,Hoyts,hoyt's,2.5,2.5,$0.25 per 10G,$0.25 / 10G
Hoyt's Sesame Seeds Jar 230g,Hoyts,hoyt's,4.45,4.5,$0.19 per 10G,$0.20 / 10G
Hoyt's Thyme 15g,Hoyts,hoyt's,1.3,1.3,$0.87 per 10G,$0.87 / 10G
Hoyt's Turmeric 25g,Hoyts,hoyt's,1.5,1.5,$0.60 per 10G,$0.60 / 10G
Hoyt's Vanilla Sugar 25g,Hoyts,hoyt's,1.15,1.15,$0.46 per 10G,$0.46 / 10G
Hubba Bubba Seriously Strawberry Bubble Gum Tape 56g,Wrigley's,hubba bubba,2.4,2.4,$4.29 per 100G,$4.29 / 100G
