Brand_Product_Size,Brand_x,Brand_y,COL Price,WOW Price,COL ppu,WOW ppu
I & J Salt & Pepper Squid 360g,KB,i & j,9.5,7.0,$26.39 per 1Kg,$19.44 / 1KG
Ichiban Noodle Bowl Roast Beef 150g,Wei Lih Ichiban,ichiban,4.4,3.5,$2.93 per 100G,$2.33 / 100G
Ichiban Noodle Bowl Roast Pork 150g,Wei Lih Ichiban,ichiban,4.4,3.5,$2.93 per 100G,$2.33 / 100G
Indomie Chitato Mi Goreng Chips 55g,Indomie Chitato,indomie,1.85,1.85,$3.36 per 100G,$3.36 / 100G
J Crackleton Pork Crackle Maple Bacon 40g,J Crackleton Pork,j crackleton,1.44,1.8,$3.60 per 100G,$45.00 / 1KG
Jacobs Jaffa Cakes 147g,Jacob's,jacobs,4.0,4.0,$2.72 per 100G,$2.72 / 100G
Jacobs Snacks Original Twiglets 45g,Jacob's,jacobs,1.8,2.15,$4.00 per 100G,$4.78 / 100G
Johnson's Baby Oil With Aloe Vera & Vitamin E 500mL,Johnson & Johnson,johnson's,9.5,9.5,$1.90 per 100mL,$1.90 / 100ML
Johnson's Baby Wash Bedtime Bath 500mL,Johnson & Johnson,johnson's,9.5,9.5,$1.90 per 100mL,$1.90 / 100ML
Johnson's Baby Wash Top To Toe Bath 500mL,Johnson & Johnson,johnson's,8.99,9.5,$1.80 per 100mL,$1.90 / 100ML
Johnson's Bath Milk & Rice 500mL,Johnson,johnson's,9.5,9.5,$1.90 per 100mL,$1.90 / 100ML
Karicare 1 Baby Infant Formula From Birth To 6 Months 900g,Karicare+,karicare,18.0,18.0,$2.00 per 100G,$2.00 / 100G
Karicare 2 Baby Follow-on Formula From 6 To 12 Months 900g,Karicare+,karicare,18.0,18.0,$2.00 per 100G,$2.00 / 100G
Karicare 3 Toddler Milk Drink Formula From 12+ Months 900g,Karicare+,karicare,17.0,15.0,$1.89 per 100G,$1.67 / 100G
Karicare 4 Toddler Milk Drink Formula From 2+ Years 900g,Karicare+,karicare,17.0,15.0,$1.89 per 100G,$1.67 / 100G
Kez's Gluten Free Princetons Chocolate Cream 125g,Kez's Kitchen,kez's,7.0,4.2,$5.60 per 100G,$3.36 / 100G
Ki Bulgarian Sheep Cheese 400g,Kebia,,8.0,7.0,$20.00 per 1Kg,$17.50 / 1KG
King Island Cape Wickham Double Brie Cheese 200g,King Island Dairy,king island,12.6,12.6,$63.00 per 1Kg,$63.00 / 1KG
King Island Phoques Cove Camembert Cheese 200g,King Island Dairy,king island,12.6,12.6,$6.30 per 100G,$63.00 / 1KG
Kong Foo Sing Snacks Fortune Cookies 100g,Kong Foo Sing,kong foo,4.5,4.5,$4.50 per 100G,$4.50 / 100G
Kook A Krumb Panko Breadcrumbs 190g,Kooka A Krumb,kook a krumb,3.0,3.0,$0.16 per 10G,$0.16 / 10G
Krummies Breadcrumbs 375g,Tip Top,krummies,3.0,3.0,$0.08 per 10G,$0.08 / 10G
La Casa Del Formaggio Bambini Bocconcini 220g,La Casa Del Formaggio,la casa,5.5,5.5,$25.00 per 1Kg,$25.00 / 1KG
Latina Fresh Beef Ravioli 375g,Latina,latina fresh,4.0,6.5,$1.07 per 100G,$1.73 / 100G
Latina Fresh Beef Ravioli 625g,Latina,latina fresh,8.0,6.0,$1.28 per 100G,$0.96 / 100G
Latina Fresh Creamy Carbonara Pasta Sauce 425g,Latina,latina fresh,6.0,4.0,$1.41 per 100G,$0.94 / 100G
Latina Fresh Creamy Sundried Tomato Pasta Sauce 425g,Latina,latina fresh,6.0,4.0,$1.41 per 100G,$0.94 / 100G
Latina Fresh Egg Fettuccine 375g,Latina,latina fresh,3.5,5.0,$0.93 per 100G,$1.33 / 100G
Latina Fresh Gluten Free Beef Ravioli 280g,Latina,latina fresh,7.5,7.5,$2.68 per 100G,$2.68 / 100G
Latina Fresh Gluten Free Lasagne Sheets 280g,Latina,latina fresh,7.0,7.0,$2.50 per 100G,$2.50 / 100G
Latina Fresh Italian Tomato & Garlic Pasta Sauce 425g,Latina,latina fresh,6.0,4.0,$1.41 per 100G,$0.94 / 100G
Latina Fresh Kids Mini Ravioli Beef & Vegetable 200g,Latina,latina fresh,4.5,4.5,$2.25 per 100G,$2.25 / 100G
Latina Fresh Lasagne Sheets 375g,Latina,latina fresh,3.5,5.0,$0.93 per 100G,$1.33 / 100G
Latina Fresh Roast Chicken & Garlic Ravioli 625g,Latina,latina fresh,8.0,6.0,$1.28 per 100G,$0.96 / 100G
Latina Fresh Spinach & Ricotta Agnolotti 375g,Latina,latina fresh,4.0,6.5,$1.07 per 100G,$1.73 / 100G
Latina Fresh Spinach & Ricotta Agnolotti 625g,Latina,latina fresh,8.0,6.0,$1.28 per 100G,$0.96 / 100G
Latina Fresh Veal Tortellini 625g,Latina,latina fresh,8.0,6.0,$1.28 per 100G,$0.96 / 100G
Leggos Passata Sauce Italian Herbs 700g,Leggo's,leggos,2.8,3.2,$0.40 per 100G,$0.46 / 100G
